1.000000000000000000e+00,6.553600000000000314e+00,4.303359999999999275e+01
4.290249999999999631e+01,1.520999999999999908e+01,2.788899999999999935e+00
3.317759999999999820e+01,2.788899999999999935e+00,1.848999999999999844e+01
1.000000000000000000e+00,6.553600000000000314e+00,4.303359999999999275e+01
4.290249999999999631e+01,1.520999999999999908e+01,2.788899999999999935e+00
3.317759999999999820e+01,2.788899999999999935e+00,1.848999999999999844e+01
1.000000000000000000e+00,6.553600000000000314e+00,4.303359999999999275e+01
4.290249999999999631e+01,1.520999999999999908e+01,2.788899999999999935e+00
3.317759999999999820e+01,2.788899999999999935e+00,1.848999999999999844e+01
1.000000000000000000e+00,6.553600000000000314e+00,4.303359999999999275e+01
4.290249999999999631e+01,1.520999999999999908e+01,2.788899999999999935e+00
3.317759999999999820e+01,2.788899999999999935e+00,1.848999999999999844e+01
1.000000000000000000e+00,6.553600000000000314e+00,4.303359999999999275e+01
4.290249999999999631e+01,1.520999999999999908e+01,2.788899999999999935e+00
3.317759999999999820e+01,2.788899999999999935e+00,1.848999999999999844e+01
